Chr	Start	Stop	BlockLength	BlockSize
Syn_WH8101_rela	0	33	64	34
Syn_WH8101_rela	33	40	7	35
Syn_WH8101_rela	40	260	263	46
Syn_WH8101_rela	260	764	539	48
Syn_WH8101_rela	764	1479	751	48
Syn_WH8101_rela	1479	1964	495	48
Syn_WH8101_rela	1964	2023	180	48
Syn_WH8101_rela	2023	2180	251	48
Syn_WH8101_rela	2180	3511	1336	48
Syn_WH8101_rela	3511	4280	828	48
Syn_WH8101_rela	4280	4506	298	48
Syn_WH8101_rela	4506	4574	84	48
Syn_WH8101_rela	4574	4976	460	48
Syn_WH8101_rela	4976	5478	601	48
Syn_WH8101_rela	5478	6304	1020	48
Syn_WH8101_rela	6304	6794	520	48
Syn_WH8101_rela	6794	8810	2063	48
Syn_WH8101_rela	8810	9157	347	48
Syn_WH8101_rela	9157	9711	630	48
Syn_WH8101_rela	9711	10153	445	48
Syn_WH8101_rela	10153	11146	1100	48
Syn_WH8101_rela	11146	12673	1669	48
Syn_WH8101_rela	12673	12712	58	48
Syn_WH8101_rela	12712	12747	160	48
Syn_WH8101_rela	12747	12760	28	48
Syn_WH8101_rela	12760	12830	80	48
Syn_WH8101_rela	12830	12831	1	48
Syn_WH8101_rela	12831	12874	134	48
Syn_WH8101_rela	12874	12896	64	46
Syn_WH8101_rela	12896	12897	1	36
Syn_WH8101_rela	12897	12911	94	46
Syn_WH8101_rela	12911	12926	43	46
Syn_WH8101_rela	12926	13068	225	48
Syn_WH8101_rela	13068	13464	399	48
Syn_WH8101_rela	13464	14105	661	48
Syn_WH8101_rela	14105	14126	21	48
Syn_WH8101_rela	14126	14514	408	48
Syn_WH8101_rela	14514	15607	1148	48
Syn_WH8101_rela	15607	17106	1552	48
Syn_WH8101_rela	17106	17396	320	48
Syn_WH8101_rela	17421	17435	41	43
Syn_WH8101_rela	17435	17475	145	43
Syn_WH8101_rela	17475	17484	36	46
Syn_WH8101_rela	17484	17523	42	48
Syn_WH8101_rela	17523	17527	7	41
Syn_WH8101_rela	17527	17945	569	48
Syn_WH8101_rela	17945	18183	238	48
Syn_WH8101_rela	18183	18838	727	48
Syn_WH8101_rela	18838	19264	448	48
Syn_WH8101_rela	19264	19745	507	48
Syn_WH8101_rela	19745	20268	539	48
Syn_WH8101_rela	20268	20485	217	48
Syn_WH8101_rela	20485	20492	28	48
Syn_WH8101_rela	20492	20494	3	45
Syn_WH8101_rela	20494	21597	1190	46
Syn_WH8101_rela	21597	21611	35	41
Syn_WH8101_rela	21611	21628	37	39
Syn_WH8101_rela	21628	21636	9	41
Syn_WH8101_rela	21636	21638	2	41
Syn_WH8101_rela	21638	21640	2	41
Syn_WH8101_rela	21640	21784	182	40
Syn_WH8101_rela	21784	21848	69	42
Syn_WH8101_rela	21848	22110	273	42
Syn_WH8101_rela	22110	22327	217	42
Syn_WH8101_rela	22327	22528	201	42
Syn_WH8101_rela	22528	22863	346	42
Syn_WH8101_rela	22863	23199	336	42
Syn_WH8101_rela	23199	23697	498	45
Syn_WH8101_rela	23697	24190	496	46
Syn_WH8101_rela	24190	24213	42	43
Syn_WH8101_rela	24213	24290	164	44
Syn_WH8101_rela	24290	24401	111	47
Syn_WH8101_rela	24401	24469	87	47
Syn_WH8101_rela	24469	24769	442	48
Syn_WH8101_rela	24769	25378	681	48
Syn_WH8101_rela	25378	25704	337	48
Syn_WH8101_rela	25704	26844	1206	48
Syn_WH8101_rela	26844	27259	457	48
Syn_WH8101_rela	27259	27615	365	48
Syn_WH8101_rela	27615	28074	469	48
Syn_WH8101_rela	28074	28664	610	48
